"","Amount","DonationCount","AvgYear"
"1",2700,437,2017.11670480549
"2",5400,384,2017.27604166667
"3",5000,264,2017.95454545455
"4",1000,245,2017.8612244898
"5",5600,226,2019.98230088496
"6",10000,174,2017.62068965517
"7",2800,156,2020
"8",2000,96,2017.375
"9",2500,91,2018.08791208791
"10",500,63,2018.22222222222
"11",1500,37,2018.7027027027
"12",25000,37,2017.67567567568
"13",1e+05,29,2017.31034482759
"14",50000,27,2017.85185185185
"15",20000,25,2017.36
"16",4000,19,2016.73684210526
"17",3000,17,2017.17647058824
"18",3700,17,2017.17647058824
"19",250,15,2018.8
"20",11200,12,2020
"21",15000,11,2016.90909090909
"22",2e+05,11,2018.90909090909
"23",5200,10,2017
"24",10800,10,2017
"25",2600,9,2016.88888888889
"26",4700,9,2017.55555555556
"27",10400,9,2017.11111111111
"28",33400,9,2016.22222222222
"29",150000,9,2017.33333333333
"30",100,7,2017.71428571429
"31",400,7,2018
"32",5500,7,2020
"33",7500,7,2017.14285714286
"34",3500,6,2017
"35",7000,6,2019.66666666667
"36",33900,6,2018
"37",35000,6,2018
"38",12700,5,2016.8
"39",30000,5,2017.2
"40",35500,5,2020
"41",70000,5,2018
"42",75000,5,2018
"43",3e+05,5,2016.8
"44",270,4,2018
"45",1250,4,2019
"46",4500,4,2017
"47",250000,4,2018
"48",1400,3,2018.66666666667
"49",1800,3,2017.33333333333
"50",2300,3,2017.33333333333
"51",3800,3,2020
"52",4200,3,2019.33333333333
"53",6667,3,2016.66666666667
"54",8400,3,2020
"55",15400,3,2016
"56",125000,3,2018
"57",5e+05,3,2018
"58",750000,3,2018.66666666667
"59",120,2,2016
"60",600,2,2019
"61",1300,2,2018
"62",2100,2,2018
"63",2400,2,2018
"64",2432,2,2019
"65",3333,2,2020
"66",3900,2,2018
"67",4600,2,2017
"68",4800,2,2018
"69",5300,2,2016
"70",7700,2,2017
"71",8100,2,2016
"72",10600,2,2020
"73",12500,2,2016
"74",20600,2,2020
"75",29600,2,2016
"76",36100,2,2018
"77",67800,2,2018
"78",110000,2,2017
"79",244200,2,2016
"80",355000,2,2020
"81",371500,2,2018
"82",36,1,2016
"83",50,1,2018
"84",110,1,2020
"85",260,1,2016
"86",275,1,2018
"87",280,1,2016
"88",300,1,2018
"89",310,1,2016
"90",421,1,2016
"91",545,1,2020
"92",550,1,2020
"93",560,1,2020
"94",575,1,2018
"95",750,1,2016
"96",950,1,2016
"97",1050,1,2016
"98",1100,1,2020
"99",1120,1,2020
"100",1150,1,2016
"101",1321,1,2018
"102",1475,1,2016
"103",1490,1,2020
"104",1518,1,2018
"105",1600,1,2016
"106",1716,1,2016
"107",1768,1,2016
"108",2002,1,2020
"109",2200,1,2020
"110",2340,1,2018
