"","Owner","Team","DollarAmount","AvgDonation","Donation Count"
"1","Charles Johnson","San Francisco Giants",11035700,51810.7981220657,213
"2","Dan DeVos","Orlando Magic",2310400,19917.2413793103,116
"3","Peter Angelos","Baltimore Orioles",2092772,104638.6,20
"4","Jerry Reinsdorf","Chicago Bulls, Chicago White Sox",1797300,23042.3076923077,78
"5","Philip F. Anschutz","Los Angeles Kings",1776700,53839.3939393939,33
"6","Jimmy and Susan Haslam","Cleveland Browns",1737200,17031.3725490196,102
"7","Laura Ricketts","Chicago Cubs",1718124,55423.3548387097,31
"8","James L. Dolan","New York Knicks, New York Rangers",1610000,146363.636363636,11
"9","Dan Gilbert","Cleveland Cavaliers",1510200,75510,20
"10","Ken Kendrick","Arizona Diamondbacks",1379700,16043.023255814,86
"11","Janice S. McNair","Houston Texans",1369400,97814.2857142857,14
"12","Ron Burkle","Pittsburgh Penguins",1259600,89971.4285714286,14
"13","Robert H. Castellini","Cincinnati Reds",1250182,20164.2258064516,62
"14","Micky Arison","Miami Heat",1193700,6706.1797752809,178
"15","Bill Foley","Vegas Golden Knights",989200,89927.2727272727,11
"16","Kelly Loeffler","Atlanta Dream",896150,22978.2051282051,39
"17","John Rogers","Chicago Sky",694350,4660.06711409396,149
"18","Peter Karmanos Jr.","Carolina Hurricanes",657902,17313.2105263158,38
"19","Stephen M. Ross","Miami Dolphins",539500,8300,65
"20","Herbert Simon","Indiana Pacers, Indiana Fever",525200,7723.52941176471,68
"21","Tilman J. Fertitta","Houston Rockets",463800,25766.6666666667,18
"22","Edward P. Roski Jr.","Los Angeles Kings",429600,9339.13043478261,46
"23","Roger Penske","Team Penske",420533,23362.9444444444,18
"24","Jody Allen (Paul G. Allen Trust)","Portland Trail Blazers, Seattle Seahawks",419800,3887.03703703704,108
"25","Josh Harris","Philadelphia 76ers, New Jersey Devils",351750,7484.04255319149,47
"26","David Bonderman","Seattle Kraken",339600,9433.33333333333,36
"27","Magic Johnson","Los Angeles Dodgers, Los Angeles Sparks",289900,96633.3333333333,3
"28","Marc Lasry","Milwaukee Bucks",271500,8484.375,32
"29","Jerry Jones","Dallas Cowboys",243650,22150,11
"30","Edward Glazer","Tampa Bay Buccaneers",238905,18377.3076923077,13
"31","Todd Boehly","Los Angeles Dodgers",235500,8410.71428571429,28
"32","Jim Pohlad","Minnesota Twins",212000,9217.39130434783,23
"33","Jeremy M. Jacobs and Jerry Jacobs Jr.","Boston Bruins",208400,11577.7777777778,18
"34","Steve Tisch","New York Giants",204660,12038.8235294118,17
