"","Recipient","DollarAmount","# of Donations","AvgDonation"
"1","SENATE LEADERSHIP FUND",3937300,13,302869.230769231
"2","CONGRESSIONAL LEADERSHIP FUND",3350000,8,418750
"3","TRUMP VICTORY",2697001,14,192642.928571429
"4","TEAM RYAN",2252550,25,90102
"5","RIGHT TO RISE USA",2082500,5,416500
"6","REPUBLICAN NATIONAL COMMITTEE",1832100,13,140930.769230769
"7","SMP",1388000,4,347000
"8","AMERICA LEADS",1250000,1,1250000
"9","L PAC",1152835,3,384278.333333333
"10","TAKE BACK THE HOUSE 2020",1098900,8,137362.5
"11","PROTECT THE HOUSE",903000,5,180600
"12","HILLARY VICTORY FUND",902103,14,64435.9285714286
"13","HOUSE MAJORITY PAC",755000,2,377500
"14","NRSC",753300,18,41850
"15","CONSERVATIVE SOLUTIONS PAC",750000,2,375000
"16","NRCC",599000,18,33277.7777777778
"17","Hillary Victory Fund",571513,10,57151.3
"18","Gridiron-PAC",514650,69,7458.69565217391
"19","Right to Rise USA",476000,5,95200
"20","1820 PAC",375000,3,125000
"21","NRSC TARGETED STATE VICTORY COMMITTEE",350000,2,175000
"22","NEW REPUBLICAN PAC",339100,3,113033.333333333
"23","MCCARTHY VICTORY FUND",330600,8,41325
"24","GARDNER VICTORY COMMITTEE",321700,5,64340
"25","America Leads",3e+05,2,150000
"26","GOVERN OR GO HOME",3e+05,1,3e+05
"27","UNITED TOGETHER",3e+05,1,3e+05
"28","SCALISE LEADERSHIP FUND",275200,6,45866.6666666667
"29","DRAFT BIDEN 2016",272000,1,272000
"30","CORNYN MAJORITY COMMITTEE",263900,8,32987.5
"31","DSCC",228600,11,20781.8181818182
"32","BETTER FUTURE MI FUND",225000,2,112500
"33","AMERICA FIRST ACTION, INC.",2e+05,1,2e+05
"34","American Unity PAC",2e+05,1,2e+05
"35","CITIZENS FOR A STRONG AMERICA INC",2e+05,1,2e+05
"36","DUTY AND COUNTRY",2e+05,1,2e+05
"37","UNITED FOR PROGRESS, INC.",2e+05,1,2e+05
"38","Trump Victory",188600,8,23575
"39","OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE",187500,25,7500
"40","Republican National Committee",184605,6,30767.5
"41","DNC SERVICES CORP./DEM. NAT'L COMMITTEE",174100,5,34820
"42","Office of the Commissioner of Major League Baseball PAC",164333,27,6086.40740740741
"43","BOEHNER FOR SPEAKER",160000,3,53333.3333333333
"44","DCCC",157700,12,13141.6666666667
"45","NRSC TARGETED STATE VICTORY FUND",150000,1,150000
"46","OUR PRINCIPLES PAC",150000,1,150000
"47","Hillary Action Fund",140800,4,35200
