,Owner,Team,League,Recipient,Amount,Election Year,Party
143,Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,1850000,2018,Republican
144,Charles Johnson,San Francisco Giants,MLB,RIGHT TO RISE USA,1500000,2016,Republican
145,Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1300000,2018,Republican
548,Dan Gilbert,Cleveland Cavaliers,NBA,AMERICA LEADS,1250000,2016,Republican
146,Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1000000,2020,Republican
2180,Peter Angelos,Baltimore Orioles,MLB,SMP,750000,2018,Democrat
147,Charles Johnson,San Francisco Giants,MLB,TAKE BACK THE HOUSE 2020,750000,2020,Republican
2179,Peter Angelos,Baltimore Orioles,MLB,HOUSE MAJORITY PAC,750000,2018,Democrat
1700,Ken Kendrick,Arizona Diamondbacks,MLB,CONSERVATIVE SOLUTIONS PAC,700000,2016,Republican
1791,Laura Ricketts,Chicago Cubs,MLB,L PAC,562400,2016,Democrat
